date,open,high,low,close,volume,raw_close,change_percent,avg_vol_20d,Month,Interest
02/01/2013,19.7793,19.8214,19.3439,19.6082,560518000,549.0296,3.17,616449540,2013-01,57
03/01/2013,19.5671,19.6311,19.3214,19.3607,352965200,542.0996,-1.26,606244380,2013-01,57
04/01/2013,19.1775,19.2368,18.7796,18.8214,594333600,526.9992,-2.79,583729160,2013-01,57
07/01/2013,18.6429,18.9036,18.4,18.7107,484156400,523.8996,-0.59,549076360,2013-01,57
08/01/2013,18.9004,18.9961,18.6161,18.7611,458707200,525.3108,0.27,532659680,2013-01,57
09/01/2013,18.6607,18.7504,18.4282,18.4679,407604400,517.1012,-1.56,521515680,2013-01,57
10/01/2013,18.8768,18.8829,18.4114,18.6968,601146000,523.5104,1.24,521955700,2013-01,57
11/01/2013,18.6071,18.7614,18.5364,18.5821,350506800,520.2988,-0.61,515123840,2013-01,57
14/01/2013,17.9529,18.125,17.8039,17.9196,734207600,501.7488,-3.57,520571240,2013-01,57
15/01/2013,17.7964,17.8211,17.2636,17.3543,876772400,485.9204,-3.15,513930900,2013-01,57
16/01/2013,17.6657,18.1943,17.5893,18.0746,690804800,506.0888,4.15,510590780,2013-01,57
17/01/2013,18.2254,18.2411,17.9296,17.9529,453678400,502.6812,-0.67,501990440,2013-01,57
18/01/2013,17.8043,17.9364,17.7286,17.8571,472922800,499.9988,-0.53,503168120,2013-01,57
22/01/2013,18.02,18.1386,17.7368,18.0275,461546400,504.77,0.95,502160960,2013-01,57
23/01/2013,18.1718,18.3925,18.0275,18.3575,861509600,514.01,1.83,515423020,2013-01,57
24/01/2013,16.4286,16.6332,16.0804,16.0893,1460852400,450.5004,-12.36,579677980,2013-01,57
25/01/2013,16.1318,16.2939,15.5357,15.71,1208026400,439.88,-2.36,624957480,2013-01,57
28/01/2013,15.6368,16.1861,15.5664,16.0654,785517600,449.8312,2.26,641477340,2013-01,57
29/01/2013,16.375,16.4357,16.1471,16.3668,571158000,458.2704,1.88,652321320,2013-01,57
30/01/2013,16.3214,16.5214,16.2321,16.3154,417155200,456.8312,-0.31,640204460,2013-01,57
31/01/2013,16.3207,16.4029,16.2493,16.2675,319334400,455.49,-0.29,628145280,2013-01,57
01/02/2013,16.3968,16.41,16.0125,16.2007,539484400,453.6196,-0.41,637471240,2013-02,60
04/02/2013,16.2111,16.2836,15.7857,15.7971,477117200,442.3188,-2.49,631610420,2013-02,60
05/02/2013,15.8589,16.4193,15.7936,16.3514,573347600,457.8392,3.51,636069980,2013-02,60
06/02/2013,16.3025,16.6607,16.1636,16.3339,593706400,457.3492,-0.11,642819940,2013-02,60
07/02/2013,16.5446,16.7857,16.2186,16.7221,704580800,468.2188,2.97,657668760,2013-02,60
08/02/2013,16.9286,17.1004,16.7232,16.9636,633158400,474.9808,1.44,659269380,2013-02,60
11/02/2013,17.0179,17.3193,16.9018,17.1404,517490400,479.9312,1.04,667618560,2013-02,60
12/02/2013,17.1254,17.2279,16.705,16.7107,609053200,467.8996,-2.51,661360840,2013-02,60
13/02/2013,16.6861,16.9157,16.5436,16.6789,475207600,467.0092,-0.19,641282600,2013-02,60
14/02/2013,16.59,16.8443,16.5721,16.6639,355275200,466.5892,-0.09,624506120,2013-02,60
15/02/2013,16.7446,16.7914,16.4257,16.4343,391745200,460.1604,-1.38,621409460,2013-02,60
19/02/2013,16.4679,16.5261,16.2089,16.4282,435783600,459.9896,-0.04,619552500,2013-02,60
20/02/2013,16.3461,16.3461,16.0286,16.0304,476302400,448.8512,-2.42,620290300,2013-02,60
21/02/2013,15.9286,16.0418,15.815,15.9307,447182400,446.0596,-0.62,599573940,2013-02,60
22/02/2013,16.0446,16.1286,15.95,16.1004,330654800,450.8112,1.07,543064060,2013-02,60
25/02/2013,16.2089,16.2543,15.8061,15.8143,372579200,442.8004,-1.78,501291700,2013-02,60
26/02/2013,15.8507,16.1264,15.6307,16.0346,501499600,448.9688,1.39,487090800,2013-02,60
27/02/2013,16.0154,16.1586,15.7375,15.8775,587350400,444.57,-0.98,487900420,2013-02,60
28/02/2013,15.8589,15.9954,15.7643,15.7643,322515200,441.4004,-0.71,483168420,2013-02,60
01/03/2013,15.6429,15.6493,15.3564,15.3739,552448400,430.4692,-2.48,494824120,2013-03,55
04/03/2013,15.2786,15.2929,14.9643,15.0018,582755600,420.0504,-2.42,496987680,2013-03,55
05/03/2013,15.0529,15.5425,15.0268,15.3979,638433600,431.1412,2.64,505053500,2013-03,55
06/03/2013,15.5182,15.5446,15.1582,15.2021,460250000,425.6588,-1.27,499398620,2013-03,55
07/03/2013,15.1607,15.4289,15.0379,15.3779,468473600,430.5812,1.16,493136980,2013-03,55
08/03/2013,15.35,15.5511,15.3075,15.4186,391482000,431.7208,0.26,477482040,2013-03,55
11/03/2013,15.3482,15.6789,15.1836,15.6382,474236000,437.8696,1.42,469535920,2013-03,55
12/03/2013,15.5571,15.6743,15.2704,15.3011,465911600,428.4308,-2.16,466956980,2013-03,55
13/03/2013,15.3018,15.5179,15.1914,15.2982,405549200,428.3496,-0.02,456781780,2013-03,55
14/03/2013,15.4582,15.5229,15.3732,15.4464,303875600,432.4992,0.97,448215180,2013-03,55
15/03/2013,15.6404,15.8654,15.6161,15.845,643960800,443.66,2.58,462649460,2013-03,55
18/03/2013,15.7661,16.3379,15.7571,16.2757,606197200,455.7196,2.72,473372060,2013-03,55
19/03/2013,16.4107,16.4632,16.0179,16.2318,526775200,454.4904,-0.27,477921640,2013-03,55
20/03/2013,16.3364,16.3439,16.0568,16.1457,308660800,452.0796,-0.53,469539560,2013-03,55
21/03/2013,16.0793,16.3564,16.075,16.1689,383255600,452.7292,0.14,466343220,2013-03,55
22/03/2013,16.235,16.5036,16.1825,16.4968,395105200,461.9104,2.03,469565740,2013-03,55
25/03/2013,16.5961,16.7839,16.4921,16.5564,501135600,463.5792,0.36,475993560,2013-03,55
26/03/2013,16.6229,16.6371,16.4475,16.4693,294294000,461.1404,-0.53,465633280,2013-03,55
27/03/2013,16.3021,16.3143,16.0975,16.1457,331237200,452.0796,-1.96,452827620,2013-03,55
28/03/2013,16.065,16.1364,15.7721,15.8093,442839600,442.6604,-2.08,458843840,2013-03,55
01/04/2013,15.7821,15.8464,15.2764,15.3182,389732000,428.9096,-3.11,450708020,2013-04,48
02/04/2013,15.2714,15.6479,15.2286,15.3496,529519200,429.7888,0.21,448046200,2013-04,48
03/04/2013,15.4061,15.6171,15.3682,15.4282,363216000,431.9896,0.51,434285320,2013-04,48
04/04/2013,15.4914,15.5357,15.1875,15.2757,358447600,427.7196,-0.99,429195200,2013-04,48
05/04/2013,15.1607,15.1768,14.9886,15.1143,383695200,423.2004,-1.06,424956280,2013-04,48
08/04/2013,15.1732,15.2679,15.0889,15.2218,300829200,426.2104,0.71,420423640,2013-04,48
09/04/2013,15.2271,15.3036,15.0982,15.2493,306614000,426.9804,0.18,412042540,2013-04,48
10/04/2013,15.2893,15.6093,15.2146,15.5604,375928000,435.6912,2.04,407543360,2013-04,48
11/04/2013,15.49,15.6425,15.4,15.5118,328364400,434.3304,-0.31,403684120,2013-04,48
12/04/2013,15.5054,15.5054,15.3246,15.35,238613200,429.8,-1.04,400421000,2013-04,48
15/04/2013,15.25,15.2818,14.9839,14.9946,317520000,419.8488,-2.32,384098960,2013-04,48
16/04/2013,15.0561,15.2361,15.0204,15.2229,305771200,426.2412,1.52,369077660,2013-04,48
17/04/2013,15.0096,15.0214,14.2182,14.3857,945056000,402.7996,-5.5,389991700,2013-04,48
18/04/2013,14.4639,14.4925,13.9193,14.0018,666299200,392.0504,-2.67,407873620,2013-04,48
19/04/2013,13.8561,14.2714,13.7536,13.9475,609274400,390.53,-0.39,419174560,2013-04,48
22/04/2013,14.0229,14.3643,13.9739,14.2382,429920400,398.6696,2.08,420915320,2013-04,48
23/04/2013,14.4282,14.585,14.2432,14.5046,664238400,406.1288,1.87,429070460,2013-04,48
24/04/2013,14.055,14.8304,14.0179,14.4807,969651200,405.4596,-0.16,462838320,2013-04,48
25/04/2013,14.6868,14.7836,14.5357,14.585,384837600,408.38,0.72,465518340,2013-04,48
26/04/2013,14.6361,14.9561,14.5804,14.9,764097600,417.2,2.16,481581240,2013-04,48
29/04/2013,15.0161,15.4864,15,15.3614,640326400,430.1192,3.1,494110960,2013-04,48
30/04/2013,15.5393,15.9018,15.4311,15.8136,691538400,442.7808,2.94,502211920,2013-04,48
01/05/2013,15.8736,15.8904,15.5139,15.6889,506909200,439.2892,-0.79,509396580,2013-05,49
02/05/2013,15.7779,16.0211,15.7368,15.9114,421828400,445.5192,1.42,512565620,2013-05,49
03/05/2013,16.1182,16.1868,16.0411,16.0707,361300800,449.9796,1,511445900,2013-05,49
06/05/2013,16.2754,16.5071,16.2254,16.4539,496641600,460.7092,2.38,521236520,2013-05,49
